"","p_val_adj","avg_logFC","cluster"
"Serping1",6.05681099808082e-288,2.50620283578227,19
"Acin19",0.235295169540292,0.277901779939387,27
"Cotl19",0.139313840576102,0.371432043075631,24
"Rps285",1.59538133381617e-77,0.761558527768766,7
"Ndufc2",1.2795642906461e-63,0.314657779108662,0
"Gm20006",7.21210189500255e-80,1.10495788964476,11
"Gm42042",4.99647319020356e-40,0.997827665923274,17
"Ywhaz1",2.59542968874374e-20,0.334265933378866,6
"Ogn3",8.64512231012326e-97,2.2372245568769,32
"Anxa218",4.11389919410667e-19,0.467607637826843,22
"Sri1",1,0.591320721557452,33
"Neat113",0.00026698830899899,0.250553026830482,16
"Alas1",3.91865102222188e-56,0.362032738805721,1
"Erp291",1.1695572024406e-19,0.643478354691845,9
"Ccdc113",0,1.91415704965164,4
"Arhgdia1",0.00110809013773009,0.302279791303593,12
"Cpm",0,1.35602615225909,0
"Rps258",2.37223717737908e-11,0.27275721950589,15
"Calr8",2.27901278272671e-07,0.471833193368824,19
"Csnk1a1",2.02612842036618e-22,0.517335122769271,5
"Rpl13a9",3.00182523229351e-50,0.378462476752427,12
"Col4a22",2.90977045524647e-66,1.81619141723726,30
"Sptssa",0.07675574590974,0.728291092707355,34
"Pla2g72",3.76059320022394e-121,2.15136548176078,23
"Atox111",0.00188256260825048,0.2937411817562,13
"Rps35",5.52192952973362e-262,1.03995323465223,7
"Zbtb207",1,0.367969906387213,36
"Rps15a6",2.27676320146753e-82,0.487290703907652,6
"Wbp52",2.61555721466671e-38,0.799985236383572,22
"Snx5",8.77906536162475e-88,0.515505951860258,1
"Gda3",7.80462171981848e-98,1.9530481047222,23
"Lyz2",0,1.02367795009344,0
"Atpif17",2.5085237605274e-31,0.711798290313291,12
"Krtcap2",1.26304766490454e-16,0.894211509300491,28
"B2m19",1.25589747823582e-11,0.295879699547739,28
"Pdia312",0.290533921954088,0.430620259716087,32
"Clta2",1.43262091758812e-09,0.454956206409992,9
"Pdgfra",1.64090315078077e-172,2.14127903899317,26
"Selenbp14",5.70639331630836e-17,0.449414479956655,22
"Rpl1313",1.34825312019886e-23,0.705062149170623,17
"Cnn27",6.09092669264282e-05,0.524168164021537,26
"Timd4",4.03710639718963e-34,1.85775394848415,35
"Pecam11",1.09752436686945e-120,1.83754913791075,21
"Gstp1",3.52352011171459e-98,0.979359313803055,4
"Psme1",1.16921191129398e-22,0.431892956444872,7
"Fus2",2.64364546937003e-13,0.287824726890887,22
"Mgst115",1,0.337982593173332,19
"Pfdn56",1,0.272000852508401,24
"Eef1g6",3.71457400666252e-41,0.829660818274739,11
"Rplp19",9.06572941842979e-13,0.265549576794581,13
